time,a.Co,b.Co,c.Co
0.0,0.0009999999999999998,9.999999999999995e-05,9.999999999999995e-05
1.0,0.0007042982313645961,6.435899339084613e-05,6.435899339084613e-05
2.0,0.0005000612141534515,0.00010544988233494563,0.00010544988233494563
3.0,0.0003496303879757393,0.00014472881122156884,0.00014472881122156884
4.0,0.0002673508421186457,0.00017054405970880773,0.00017054405970880773
5.0,0.00022816476785403542,0.00018412109315259518,0.00018412109315259518
6.0,0.00021034212850035454,0.00019059238906228538,0.00019059238906228538
7.0,0.00020235745354448809,0.00019355360200073651,0.00019355360200073651
8.0,0.0001988000663582233,0.00019488542898243776,0.00019488542898243776
9.0,0.00019721870205991574,0.0001954799663042943,0.0001954799663042943
10.0,0.00019651640317086888,0.00019574449060269687,0.00019574449060269687
11.0,0.00019620463727464246,0.00019586202147566412,0.00019586202147566412
12.0,0.00019606626252620802,0.00019591420727051664,0.00019591420727051664
13.0,0.00019600484608031342,0.00019593736365244605,0.00019593736365244605
14.0,0.00019597759246066832,0.00019594764546145756,0.00019594764546145756
15.0,0.00019596549807914126,0.00019595220917723746,0.00019595220917723746
16.0,0.0001959601309627672,0.0001959542347776529,0.0001959542347776529
17.0,0.00019595774862468676,0.00019595513281930586,0.00019595513281930586
18.0,0.00019595669170606385,0.0001959555319015056,0.0001959555319015056
19.0,0.00019595622244947427,0.00019595570863124252,0.00019595570863124252
20.0,0.0001959560143678939,0.00019595578734613568,0.00019595578734613568
21.0,0.0001959559218888575,0.00019595582204201415,0.00019595582204201415
22.0,0.00019595588096849977,0.00019595583764690902,0.00019595583764690902
23.0,0.00019595586269922674,0.00019595584438241681,0.00019595584438241681
24.0,0.00019595585469411663,0.00019595584754867064,0.00019595584754867064
25.0,0.00019595585104462945,0.00019595584878604743,0.00019595584878604743
26.0,0.00019595584951747857,0.0001959558494950261,0.0001959558494950261
27.0,0.00019595584875131393,0.00019595584965667349,0.00019595584965667349
28.0,0.00019595584849608092,0.0001959558498750446,0.0001959558498750446
29.0,0.00019595584830143478,0.0001959558498311934,0.0001959558498311934
30.0,0.00019595584829318528,0.0001959558499468746,0.0001959558499468746
31.0,0.00019595584821446068,0.00019595584986837496,0.00019595584986837496
32.0,0.00019595584825162578,0.00019595584995825148,0.00019595584995825148
33.0,0.0001959558481988319,0.00019595584987829195,0.00019595584987829195
34.0,0.00019595584824196545,0.00019595584995793977,0.00019595584995793977
35.0,0.00019595584819713958,0.0001959558498826417,0.0001959558498826417
36.0,0.00019595584823870198,0.00019595584995552436,0.00019595584995552436
37.0,0.00019595584819808652,0.0001959558498857128,0.0001959558498857128
38.0,0.00019595584823680387,0.00019595584995287728,0.00019595584995287728
39.0,0.00019595584819945595,0.00019595584988836375,0.00019595584988836375
40.0,0.00019595584823527186,0.0001959558499503526,0.0001959558499503526
41.0,0.0001959558482008188,0.00019595584989077661,0.00019595584989077661
42.0,0.0001959558482339015,0.000195955849948007,0.000195955849948007
43.0,0.0001959558482020971,0.00019595584989299858,0.00019595584989299858
44.0,0.0001959558482326456,0.00019595584994583942,0.00019595584994583942
45.0,0.00019595584820328188,0.00019595584989505002,0.00019595584989505002
46.0,0.00019595584823148846,0.0001959558499438389,0.0001959558499438389
47.0,0.00019595584820437714,0.00019595584989694488,0.00019595584989694488
48.0,0.0001959558482304209,0.0001959558499419925,0.0001959558499419925
49.0,0.0001959558482053891,0.00019595584989869544,0.00019595584989869544
50.0,0.00019595584822943584,0.00019595584994028869,0.00019595584994028869
51.0,0.00019595584820632402,0.00019595584990031252,0.00019595584990031252
52.0,0.00019595584822852682,0.00019595584993871635,0.00019595584993871635
53.0,0.00019595584820718758,0.00019595584990180615,0.00019595584990180615
54.0,0.00019595584822768792,0.0001959558499372654,0.0001959558499372654
55.0,0.00019595584820798515,0.00019595584990318582,0.00019595584990318582
56.0,0.00019595584822691364,0.00019595584993592626,0.00019595584993592626
57.0,0.00019595584820872197,0.00019595584990446022,0.00019595584990446022
58.0,0.00019595584822619904,0.0001959558499346901,0.0001959558499346901
59.0,0.00019595584820940253,0.00019595584990563734,0.00019595584990563734
60.0,0.00019595584822553947,0.00019595584993354923,0.00019595584993354923
61.0,0.00019595584821003115,0.0001959558499067246,0.0001959558499067246
62.0,0.00019595584822493063,0.00019595584993249612,0.00019595584993249612
